City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
Lumding,IN,25.7535,93.1732,76.21,99,98,2.73,light rain,2023-06-10 17:13:42
Pafos,CY,34.7667,32.4167,73.18,83,20,9.22,few clouds,2023-06-10 17:12:12
Haines Junction,CA,60.7522,-137.5108,55.35,38,73,3.44,broken clouds,2023-06-10 17:13:43
Portree,GB,57.4129,-6.1942,70.52,65,100,1.16,overcast clouds,2023-06-10 17:13:43
Bergerac,FR,44.8333,0.5,82.62,47,79,9.22,broken clouds,2023-06-10 17:13:43
Araouane,ML,18.9048,-3.5265,110.44,8,6,13.78,clear sky,2023-06-10 17:13:43
Praia Da Vitoria,PT,38.7333,-27.0667,70.05,64,20,17.34,few clouds,2023-06-10 17:13:43
Strezhevoy,RU,60.7333,77.5889,52.34,51,16,7.99,few clouds,2023-06-10 17:13:43
Kloulklubed,PW,7.0419,134.2556,83.32,76,99,6.93,overcast clouds,2023-06-10 17:13:43
Calatayud,ES,41.3535,-1.6432,79.81,36,81,4.97,broken clouds,2023-06-10 17:13:43
Valparaiso,CL,-33.0393,-71.6273,62.83,58,0,11.5,clear sky,2023-06-10 17:13:44
Russell,US,32.3502,-85.1999,86.41,39,40,4.61,scattered clouds,2023-06-10 17:13:44
Ustek,CZ,50.5847,14.3433,75.72,52,69,13.65,broken clouds,2023-06-10 17:13:44
Alpena,US,45.0617,-83.4327,73.72,40,40,5.75,scattered clouds,2023-06-10 17:13:44
Axim,GH,4.8699,-2.2405,78.48,83,95,13.42,light rain,2023-06-10 17:13:44
Gondanglegi,ID,-7.7479,112.0132,75.74,87,33,10.22,scattered clouds,2023-06-10 17:13:44
Galich,RU,58.3797,42.3475,47.01,60,59,7.58,broken clouds,2023-06-10 17:13:44
Uray,RU,60.1247,64.7758,52.97,90,91,4.7,light rain,2023-06-10 17:13:44
Zhangye,CN,38.9342,100.4517,76.8,22,100,5.46,overcast clouds,2023-06-10 17:13:44
Korla,CN,41.7597,86.1469,87.24,12,18,1.28,few clouds,2023-06-10 17:10:20
Mao,ES,39.8885,4.2658,75.76,73,20,4.61,few clouds,2023-06-10 17:13:45
Cap Malheureux,MU,-19.9842,57.6142,73.47,74,2,1.01,clear sky,2023-06-10 17:13:45
Banjar,ID,-8.19,114.9675,76.46,87,35,3.83,scattered clouds,2023-06-10 17:13:45
Ajaccio,FR,42.0,8.9167,69.85,78,20,11.5,few clouds,2023-06-10 17:13:45
Manuk Mangkaw,PH,4.8,119.85,83.21,77,100,9.06,overcast clouds,2023-06-10 17:13:45
Santa Rita,BR,-7.1139,-34.9781,84.87,61,20,12.66,few clouds,2023-06-10 17:13:45
Uusikaupunki,FI,60.8004,21.4084,54.88,45,29,6.04,scattered clouds,2023-06-10 17:13:45
New Cumnock,GB,55.3956,-4.1846,82.13,75,44,11.63,scattered clouds,2023-06-10 17:13:45
Cabadiangan,PH,9.7531,122.4739,79.03,89,100,5.12,overcast clouds,2023-06-10 17:13:45
Nuuk,GL,64.1835,-51.7216,43.41,65,75,38.01,broken clouds,2023-06-10 17:08:51
Terney,RU,45.0503,136.6092,51.96,96,89,3.94,overcast clouds,2023-06-10 17:13:46
Balabac,PH,7.9868,117.0645,82.26,82,91,7.83,overcast clouds,2023-06-10 17:13:46
Belaya Gora,RU,68.5333,146.4167,63.57,50,99,4.65,overcast clouds,2023-06-10 17:13:46
Ngunguru,NZ,-35.6167,174.5,49.75,85,13,6.38,few clouds,2023-06-10 17:13:46
San Angelo,US,31.4638,-100.437,94.05,45,0,18.41,clear sky,2023-06-10 17:09:59
Santa Rita Do Passa Quatro,BR,-21.7103,-47.4781,80.6,32,0,5.41,clear sky,2023-06-10 17:13:46
Banda Aceh,ID,5.5577,95.3222,82.69,74,99,11.9,overcast clouds,2023-06-10 17:13:46
Hamilton,US,39.1834,-84.5333,84.02,34,0,8.05,haze,2023-06-10 17:13:46
Yar-Sale,RU,66.8333,70.8333,54.52,51,100,17.0,overcast clouds,2023-06-10 17:13:46
Maldonado,UY,-34.6667,-54.9167,54.79,36,68,11.32,broken clouds,2023-06-10 17:13:47
Zapolyarnyy,RU,69.4154,30.8136,51.08,46,100,5.26,overcast clouds,2023-06-10 17:13:47
Clyde River,CA,70.4692,-68.5914,30.43,93,100,25.32,fog,2023-06-10 17:13:47
Masunga,BW,-20.6246,27.4488,66.36,22,5,7.49,clear sky,2023-06-10 17:11:18
Isabela,PH,6.7085,121.9711,79.18,80,100,4.27,overcast clouds,2023-06-10 17:13:47
Pratapgarh,IN,24.0333,74.7833,92.95,32,4,17.45,clear sky,2023-06-10 17:13:47
Iaciara,BR,-14.0958,-46.6317,91.11,28,33,4.34,scattered clouds,2023-06-10 17:13:47
Urumqi,CN,43.801,87.6005,85.15,15,0,4.47,clear sky,2023-06-10 17:13:47
Bahia Blanca,AR,-38.7196,-62.2724,52.83,37,11,11.99,few clouds,2023-06-10 17:13:47
Alta Floresta,BR,-9.8756,-56.0861,92.26,39,8,2.93,clear sky,2023-06-10 17:10:17
Praya,CV,14.9215,-23.5087,84.74,51,20,20.71,few clouds,2023-06-10 17:13:48
Ahuimanu,US,21.4447,-157.8378,78.51,80,20,9.22,few clouds,2023-06-10 17:13:48
Amalapuram,IN,16.5833,82.0167,88.43,44,100,8.66,overcast clouds,2023-06-10 17:13:48
Glendive,US,47.1053,-104.7125,66.69,59,0,14.97,clear sky,2023-06-10 17:13:48
Ilhabela,BR,-23.7781,-45.3581,82.49,45,0,1.63,clear sky,2023-06-10 17:13:48
Bafra,TR,41.5678,35.9069,64.13,88,54,1.54,broken clouds,2023-06-10 17:13:48
Worland,US,44.0169,-107.9554,70.68,63,100,3.44,overcast clouds,2023-06-10 17:13:48
Bonfim,BR,3.0833,-59.95,90.5,54,25,6.89,scattered clouds,2023-06-10 17:13:49
Zimmi,SL,7.3153,-11.3061,81.25,84,94,5.53,light rain,2023-06-10 17:13:49
Merauke,ID,-8.4667,140.3333,74.86,90,11,11.65,few clouds,2023-06-10 17:13:49
Nguruka,TZ,-5.1092,31.0419,72.72,57,73,4.38,broken clouds,2023-06-10 17:13:49
Mpongwe,ZM,-13.5091,28.155,73.29,31,53,3.13,broken clouds,2023-06-10 17:10:35
La Asuncion,VE,11.0333,-63.8628,87.53,66,5,17.27,clear sky,2023-06-10 17:13:49
Nicoya,CR,10.1483,-85.452,85.3,70,63,3.76,moderate rain,2023-06-10 17:13:49
Vao,NC,-22.6667,167.4833,69.13,60,6,11.54,clear sky,2023-06-10 17:09:43
Lebork,PL,54.5392,17.7501,66.42,45,3,13.67,clear sky,2023-06-10 17:13:49
Kindu,CD,-2.95,25.95,76.12,75,94,2.24,overcast clouds,2023-06-10 17:13:49
Deputatskiy,RU,69.3,139.9,53.04,57,100,5.84,overcast clouds,2023-06-10 17:13:50
Altamont,US,42.2068,-121.7372,65.39,63,20,3.44,few clouds,2023-06-10 17:13:50
Batemans Bay,AU,-35.7167,150.1833,50.09,76,6,3.94,clear sky,2023-06-10 17:13:50
Vanavara,RU,60.34,102.2797,51.94,85,91,2.71,overcast clouds,2023-06-10 17:13:50
Martapura,ID,-3.4167,114.85,78.89,100,90,2.3,overcast clouds,2023-06-10 17:13:50
Suntar,RU,62.1444,117.6319,66.99,50,8,7.49,clear sky,2023-06-10 17:13:50
Denpasar,ID,-8.65,115.2167,80.26,88,40,5.75,scattered clouds,2023-06-10 17:12:54
Khonsa,IN,27.0167,95.5667,70.3,94,99,3.6,overcast clouds,2023-06-10 17:13:50
Ouro Preto Do Oeste,BR,-10.7481,-62.2158,83.41,77,26,2.17,scattered clouds,2023-06-10 17:13:50
Baillif,GP,16.0202,-61.7463,89.1,72,12,18.63,few clouds,2023-06-10 17:13:51
Iglesias,IT,39.3114,8.535,78.78,71,78,7.43,broken clouds,2023-06-10 17:13:51
Makakilo City,US,21.3469,-158.0858,77.32,79,40,9.22,scattered clouds,2023-06-10 17:13:51
Bardiyah,LY,31.7561,25.0865,73.2,65,0,14.9,clear sky,2023-06-10 17:13:51
Elesbao Veloso,BR,-6.2019,-42.1403,88.43,45,48,5.23,scattered clouds,2023-06-10 17:13:51
Lasa,IT,46.6166,10.7002,76.08,69,47,2.75,light rain,2023-06-10 17:13:51
Sinnai,IT,39.3042,9.2036,79.48,75,20,10.36,few clouds,2023-06-10 17:13:51
Capoterra,IT,39.1763,8.9718,80.55,72,20,10.36,few clouds,2023-06-10 17:13:51
Pochutla,MX,15.7432,-96.4661,93.81,49,100,7.38,overcast clouds,2023-06-10 17:13:51
Sheopur,IN,25.6667,76.7,99.79,21,2,11.99,clear sky,2023-06-10 17:13:52
Ambulu,ID,-8.345,113.6058,74.59,92,59,3.18,broken clouds,2023-06-10 17:13:52
Lagos,NG,6.5833,3.75,80.92,88,100,7.92,light rain,2023-06-10 17:13:52
Bonthe,SL,7.5264,-12.505,83.91,73,97,10.92,light rain,2023-06-10 17:13:52
Ihosy,MG,-22.4,46.1167,64.2,33,1,4.34,clear sky,2023-06-10 17:13:52
Tshikapa,CD,-6.4167,20.8,78.53,65,87,3.31,overcast clouds,2023-06-10 17:13:52
Beloha,MG,-25.1667,45.05,66.67,91,0,2.01,clear sky,2023-06-10 17:13:52
Tura,IN,25.5198,90.2201,75.61,94,100,4.27,light rain,2023-06-10 17:13:52
Palmer,US,42.1584,-72.3287,72.57,51,75,6.91,broken clouds,2023-06-10 17:12:58
Oktyabrskoye,RU,43.0645,44.7417,66.34,77,75,0.0,light intensity shower rain,2023-06-10 17:13:53
Barmer,IN,25.75,71.3833,95.67,28,0,13.6,clear sky,2023-06-10 17:13:53
Hovd,MN,48.0056,91.6419,73.04,29,23,2.19,few clouds,2023-06-10 17:13:53
Wucheng,CN,29.6008,118.175,73.71,90,77,1.81,broken clouds,2023-06-10 17:13:53
Sabrum,IN,23.0,91.7319,77.68,94,100,7.72,overcast clouds,2023-06-10 17:13:53
Sorland,NO,67.667,12.6934,51.66,72,69,9.89,broken clouds,2023-06-10 17:13:53
Visnes,NO,59.3556,5.2242,60.85,63,0,14.97,clear sky,2023-06-10 17:13:53
Xining,CN,36.6167,101.7667,59.43,48,97,2.93,overcast clouds,2023-06-10 17:13:53
Belluru,IN,12.9911,76.7444,75.54,72,100,12.44,overcast clouds,2023-06-10 17:13:54
Sosnovo-Ozerskoye,RU,52.5249,111.5418,57.87,51,41,3.22,scattered clouds,2023-06-10 17:13:54
Dhuburi,IN,26.0333,89.9667,78.67,88,87,5.75,overcast clouds,2023-06-10 17:13:54
Grand Forks,US,47.9417,-97.4337,69.53,59,75,19.57,broken clouds,2023-06-10 17:13:54
Howard Springs,AU,-12.497,131.047,75.11,75,49,5.95,scattered clouds,2023-06-10 17:13:54
Dagda,LV,56.0951,27.5372,59.11,41,8,8.99,clear sky,2023-06-10 17:13:54
Sao Felix Do Xingu,BR,-6.6447,-51.995,92.12,41,43,6.35,scattered clouds,2023-06-10 17:13:54
Santa Rosa,PH,14.3122,121.1114,79.11,98,100,7.27,moderate rain,2023-06-10 17:11:13
Mmathubudukwane,BW,-24.6,26.4333,61.05,17,0,3.51,clear sky,2023-06-10 17:11:18
Dudinka,RU,69.4058,86.1778,38.62,52,3,5.44,clear sky,2023-06-10 17:13:55
Guatire,VE,10.4762,-66.5427,90.7,47,44,4.81,scattered clouds,2023-06-10 17:13:55
Ayagoz,KZ,47.9714,80.4392,60.75,72,56,17.67,broken clouds,2023-06-10 17:13:55
Cidreira,BR,-30.1811,-50.2056,74.39,57,62,7.07,broken clouds,2023-06-10 17:13:55
Beyneu,KZ,45.3167,55.2,84.85,15,59,14.18,broken clouds,2023-06-10 17:13:55
Kuandian,CN,40.7286,124.7847,54.37,97,100,3.44,moderate rain,2023-06-10 17:13:55
Onalaska,US,43.8844,-91.2351,78.85,48,20,4.61,few clouds,2023-06-10 17:13:55
Teguldet,RU,57.3064,88.1667,51.6,60,68,6.42,broken clouds,2023-06-10 17:13:55
Shablykino,RU,52.8566,35.1964,59.83,66,100,15.93,overcast clouds,2023-06-10 17:13:55
Lavrentiya,RU,65.5833,-171.0,36.95,96,100,0.13,overcast clouds,2023-06-10 17:13:55
Dovolnoye,RU,54.4958,79.6671,57.67,61,44,3.83,scattered clouds,2023-06-10 17:13:56
Henties Bay,NA,-22.116,14.2845,58.57,83,0,7.78,clear sky,2023-06-10 17:13:56
Albacete,ES,38.8333,-2.0,79.18,41,0,6.91,clear sky,2023-06-10 17:13:56
Cliffside Park,US,40.8215,-73.9876,76.71,44,75,13.8,broken clouds,2023-06-10 17:13:56
Manggar,ID,-2.8833,108.2667,82.02,74,2,11.32,clear sky,2023-06-10 17:13:56
Maracas,BR,-13.4411,-40.4308,80.55,34,31,8.7,scattered clouds,2023-06-10 17:13:56
Lixourion,GR,38.2019,20.4314,75.2,69,20,10.36,few clouds,2023-06-10 17:13:56
Sechura,PE,-5.5569,-80.8222,81.5,60,13,9.89,few clouds,2023-06-10 17:09:39
Leh,IN,34.1667,77.5833,53.1,41,54,6.42,broken clouds,2023-06-10 17:13:56
Santiago,CL,-33.4569,-70.6483,58.17,83,100,4.61,mist,2023-06-10 17:12:03
Yelan,RU,50.949,43.7378,65.26,73,87,8.41,overcast clouds,2023-06-10 17:13:57
La Libertad,EC,-2.2333,-80.9,83.86,74,40,10.36,scattered clouds,2023-06-10 17:13:57
Natchitoches,US,31.7668,-93.1335,92.25,55,0,5.75,clear sky,2023-06-10 17:13:57
Nikolayevka,RU,53.1257,47.2041,55.8,84,100,12.71,overcast clouds,2023-06-10 17:13:57
Gizo,SB,-8.103,156.8419,81.14,78,77,4.14,light rain,2023-06-10 17:13:57
Polunochnoye,RU,60.8697,60.4153,44.2,70,17,9.15,few clouds,2023-06-10 17:13:57
La Ronge,CA,55.1001,-105.2842,71.85,40,20,10.36,smoke,2023-06-10 17:13:57
Aykhal,RU,66.0,111.5,52.81,99,100,6.02,overcast clouds,2023-06-10 17:13:57
Smithers,CA,54.7804,-127.1743,62.92,51,75,8.05,broken clouds,2023-06-10 17:13:58
Byron Bay,AU,-28.65,153.6167,50.7,82,58,2.48,broken clouds,2023-06-10 17:11:25
Amapa,BR,1.0,-52.0,82.49,75,49,4.94,scattered clouds,2023-06-10 17:13:58
Kautokeino,NO,69.0125,23.0412,61.61,29,83,3.89,broken clouds,2023-06-10 17:13:58
Leshukonskoye,RU,64.8989,45.7622,40.62,78,92,10.16,overcast clouds,2023-06-10 17:13:58
Lazaro Cardenas,MX,17.9583,-102.2,88.59,50,99,6.93,overcast clouds,2023-06-10 17:13:58
Dicabisagan,PH,17.0818,122.4157,78.96,86,100,4.74,moderate rain,2023-06-10 17:13:58
Inhambane,MZ,-23.865,35.3833,71.58,78,0,4.61,clear sky,2023-06-10 17:13:58
Banamba,ML,13.55,-7.45,107.62,12,38,9.6,scattered clouds,2023-06-10 17:13:58
Xiaoshan,CN,30.1675,120.2588,80.46,83,0,0.0,clear sky,2023-06-10 17:13:59
Gazanjyk,TM,39.2446,55.5154,85.57,21,3,7.45,clear sky,2023-06-10 17:13:59
Svetlaya,RU,46.5389,138.3297,49.53,98,100,1.92,overcast clouds,2023-06-10 17:13:59
Potoci,BA,43.4086,17.8786,74.71,57,20,5.75,light rain,2023-06-10 17:13:59
Ambon,ID,-3.6954,128.1814,82.87,79,40,4.61,scattered clouds,2023-06-10 17:13:59
Orizona,BR,-17.0314,-48.2958,85.23,31,0,3.0,clear sky,2023-06-10 17:13:59
Yulara,AU,-25.2406,130.9889,58.53,68,98,3.0,overcast clouds,2023-06-10 17:13:59
Lima,PE,-12.0432,-77.0282,73.65,60,20,13.8,few clouds,2023-06-10 17:09:08
Snezhnogorsk,RU,69.1933,33.2531,49.78,57,100,6.98,overcast clouds,2023-06-10 17:13:59
Urucara,BR,-2.5364,-57.76,91.8,47,32,5.73,scattered clouds,2023-06-10 17:14:00
Kondoa,TZ,-4.9,35.7833,68.32,52,82,3.62,broken clouds,2023-06-10 17:14:00
Banyo,CM,6.75,11.8167,71.08,90,70,2.3,light rain,2023-06-10 17:14:00
Fuerte Olimpo,PY,-21.0415,-57.8738,92.17,33,5,13.24,clear sky,2023-06-10 17:14:00
Cururupu,BR,-1.8283,-44.8683,87.4,55,16,8.61,few clouds,2023-06-10 17:14:00
Mareeba,AU,-17.0,145.4333,66.92,98,47,2.37,scattered clouds,2023-06-10 17:14:00
Belaya Kholunitsa,RU,58.84,50.8528,44.02,62,65,8.95,broken clouds,2023-06-10 17:14:00
Yagodnoye,RU,62.55,149.6667,54.25,62,95,4.03,overcast clouds,2023-06-10 17:14:00
Gunnedah,AU,-30.9833,150.25,45.18,80,0,3.51,light rain,2023-06-10 17:14:00
Arti,RU,56.4234,58.5328,54.68,94,42,4.47,scattered clouds,2023-06-10 17:14:01
Murgab,TM,37.4966,61.9714,82.27,20,40,9.22,scattered clouds,2023-06-10 17:14:01
Tuy Hoa,VN,13.0833,109.3,82.96,70,100,11.01,overcast clouds,2023-06-10 17:14:01
Shipunovo,RU,52.1582,82.2173,50.92,86,20,6.13,few clouds,2023-06-10 17:14:01
Dumas,US,35.8656,-101.9732,80.62,46,0,8.05,clear sky,2023-06-10 17:14:01
Dukat,RU,62.55,155.55,48.69,52,20,4.41,few clouds,2023-06-10 17:14:01
Guaruja,BR,-23.9931,-46.2564,89.46,31,0,3.0,clear sky,2023-06-10 17:14:01
Pangnirtung,CA,66.1451,-65.7125,37.4,87,75,12.66,light intensity drizzle,2023-06-10 17:14:01
Forbes,AU,-33.3833,148.0167,38.91,84,0,4.97,clear sky,2023-06-10 17:14:03
Laranjeiras Do Sul,BR,-25.4078,-52.4161,73.76,51,0,8.57,clear sky,2023-06-10 17:14:03
Carmen,MX,18.6333,-91.8333,89.64,66,75,3.44,broken clouds,2023-06-10 17:11:25
Bubaque,GW,11.2833,-15.8333,81.9,76,81,12.06,broken clouds,2023-06-10 17:14:03
Ternova,UA,50.1849,36.6757,60.76,94,99,16.73,overcast clouds,2023-06-10 17:14:03
Dingli,MT,35.8614,14.3822,70.81,83,20,4.61,light rain,2023-06-10 17:14:03
Barentu,ER,15.1139,37.5928,80.37,48,64,12.21,light rain,2023-06-10 17:14:04
Kandrian,PG,-6.2167,149.55,76.32,91,82,4.81,moderate rain,2023-06-10 17:14:04
Corn Island,NI,12.1694,-83.0418,84.06,72,96,3.53,overcast clouds,2023-06-10 17:14:04
Rovaniemi,FI,66.5,25.7167,58.41,41,0,16.11,clear sky,2023-06-10 17:11:53
Mwinilunga,ZM,-11.7358,24.4293,67.33,41,79,5.59,broken clouds,2023-06-10 17:14:04
Kirovskiy,RU,45.0917,133.5136,54.68,96,31,2.66,scattered clouds,2023-06-10 17:14:04
Tarko-Sale,RU,64.9225,77.785,51.85,43,100,10.2,overcast clouds,2023-06-10 17:09:11
Holme,DK,56.1138,10.1725,69.37,56,7,12.84,clear sky,2023-06-10 17:14:05
Seydi,TM,39.4816,62.9137,84.94,10,10,12.68,clear sky,2023-06-10 17:14:05
Da Lat,VN,11.9465,108.4419,61.88,98,100,2.8,overcast clouds,2023-06-10 17:14:05
Male,MV,4.1748,73.5089,84.15,89,75,4.61,broken clouds,2023-06-10 17:14:05
Zabid,YE,14.1951,43.3152,98.28,33,96,9.19,overcast clouds,2023-06-10 17:14:05
Tanout,NE,14.9709,8.8879,97.99,25,85,6.04,overcast clouds,2023-06-10 17:14:05
Dmitrovsk-Orlovskiy,RU,52.505,35.1464,60.13,72,100,15.23,overcast clouds,2023-06-10 17:14:05
Sur,OM,22.5667,59.5289,92.08,41,98,4.5,overcast clouds,2023-06-10 17:14:05
Amahai,ID,-3.3333,128.9167,82.0,90,95,6.62,overcast clouds,2023-06-10 17:14:06
Kaputa,ZM,-8.4689,29.6619,75.25,48,16,5.26,few clouds,2023-06-10 17:14:06
Lushoto,TZ,-4.7833,38.2833,56.75,78,57,3.44,broken clouds,2023-06-10 17:14:06
Kysyl-Syr,RU,63.8986,122.7617,69.58,46,84,9.6,broken clouds,2023-06-10 17:14:06
Ayan,RU,56.45,138.1667,49.66,81,59,9.84,broken clouds,2023-06-10 17:14:06
Dunedin,NZ,-45.8742,170.5036,45.81,53,38,1.99,scattered clouds,2023-06-10 17:09:37
Mogok,MM,22.9167,96.5,66.29,97,88,3.47,overcast clouds,2023-06-10 17:14:06
Weihai,CN,37.5017,122.1136,62.94,92,4,3.24,clear sky,2023-06-10 17:14:06
Hrubieszow,PL,50.805,23.8925,60.84,92,100,8.5,overcast clouds,2023-06-10 17:14:07
Ampanihy,MG,-24.7,44.75,67.05,84,0,2.21,clear sky,2023-06-10 17:14:07
Umm Kaddadah,SD,13.6017,26.6876,82.54,52,100,11.21,overcast clouds,2023-06-10 17:14:07
Ojinaga,MX,29.5667,-104.4167,95.58,31,0,0.0,clear sky,2023-06-10 17:14:07
High Level,CA,58.5169,-117.136,66.31,68,100,6.91,overcast clouds,2023-06-10 17:14:07
Ippy,CF,6.2679,21.2247,75.11,80,96,2.53,overcast clouds,2023-06-10 17:14:07
Muisne,EC,0.6,-80.0333,82.63,73,95,5.82,overcast clouds,2023-06-10 17:14:07
Bouna,CI,9.2667,-3.0,87.51,50,96,3.58,overcast clouds,2023-06-10 17:14:07
Muroto,JP,33.2833,134.15,68.07,97,100,12.35,light rain,2023-06-10 17:14:07
Poso,ID,-1.3959,120.7524,76.37,91,65,4.76,broken clouds,2023-06-10 17:14:08
Hambantota,LK,6.1241,81.1185,80.92,83,98,18.45,overcast clouds,2023-06-10 17:14:08
Chemal,RU,51.4111,86.005,57.79,99,100,5.46,overcast clouds,2023-06-10 17:14:08
Agbor,NG,6.2518,6.1934,77.85,92,46,5.91,moderate rain,2023-06-10 17:14:08
Hit,IQ,33.6416,42.8251,85.71,35,89,6.78,overcast clouds,2023-06-10 17:14:08
Charters Towers,AU,-20.1,146.2667,58.95,90,2,6.38,clear sky,2023-06-10 17:14:08
Nouakchott,MR,18.0858,-15.9785,91.33,52,8,23.78,clear sky,2023-06-10 17:14:08
Karambakkudi,IN,10.4667,79.1333,87.31,66,99,6.15,overcast clouds,2023-06-10 17:14:08
Taloqan,AF,36.7361,69.5345,80.67,27,20,4.07,few clouds,2023-06-10 17:14:09
Karratha,AU,-20.7377,116.8463,69.78,53,1,7.38,clear sky,2023-06-10 17:14:09
Belmonte,BR,-15.8631,-38.8828,79.36,70,28,6.55,scattered clouds,2023-06-10 17:14:09
Prince Rupert,CA,54.3161,-130.3201,51.89,92,100,19.57,overcast clouds,2023-06-10 17:14:09
Dongsheng,CN,39.8161,109.9776,63.73,25,41,14.99,scattered clouds,2023-06-10 17:09:47
Tarnova,RO,46.3167,21.8,69.75,80,15,1.63,light rain,2023-06-10 17:14:09
El Retorno,CO,2.3302,-72.6276,86.88,58,40,3.74,scattered clouds,2023-06-10 17:14:09
Nkan,GA,0.3833,9.7833,79.65,78,86,6.62,overcast clouds,2023-06-10 17:14:09
